threshold,TP,FN,FP,TN,accuracy,precision,recall,f1_score,FAR,FRR
-18.30449594175545,15,0,21,0,0.4166666666666667,0.4166666666666667,1.0,0.5882352941176471,1.0,0.0
-17.652281151915858,15,0,20,1,0.4444444444444444,0.42857142857142855,1.0,0.6,0.9523809523809523,0.0
-17.000066362076268,15,0,18,3,0.5,0.45454545454545453,1.0,0.625,0.8571428571428571,0.0
-16.347851572236674,15,0,12,9,0.6666666666666666,0.5555555555555556,1.0,0.7142857142857143,0.5714285714285714,0.0
-15.695636782397083,15,0,10,11,0.7222222222222222,0.6,1.0,0.7499999999999999,0.47619047619047616,0.0
-15.04342199255749,15,0,7,14,0.8055555555555556,0.6818181818181818,1.0,0.8108108108108109,0.3333333333333333,0.0
-14.391207202717897,15,0,7,14,0.8055555555555556,0.6818181818181818,1.0,0.8108108108108109,0.3333333333333333,0.0
-13.738992412878305,15,0,4,17,0.8888888888888888,0.7894736842105263,1.0,0.8823529411764706,0.19047619047619047,0.0
-13.086777623038714,15,0,2,19,0.9444444444444444,0.8823529411764706,1.0,0.9375,0.09523809523809523,0.0
-12.43456283319912,15,0,0,21,1.0,1.0,1.0,1.0,0.0,0.0
-11.782348043359528,15,0,0,21,1.0,1.0,1.0,1.0,0.0,0.0
-11.130133253519936,15,0,0,21,1.0,1.0,1.0,1.0,0.0,0.0
-10.477918463680343,15,0,0,21,1.0,1.0,1.0,1.0,0.0,0.0
-9.825703673840751,15,0,0,21,1.0,1.0,1.0,1.0,0.0,0.0
-9.17348888400116,15,0,0,21,1.0,1.0,1.0,1.0,0.0,0.0
-8.521274094161566,15,0,0,21,1.0,1.0,1.0,1.0,0.0,0.0
-7.869059304321974,15,0,0,21,1.0,1.0,1.0,1.0,0.0,0.0
-7.216844514482382,15,0,0,21,1.0,1.0,1.0,1.0,0.0,0.0
-6.5646297246427885,15,0,0,21,1.0,1.0,1.0,1.0,0.0,0.0
-5.912414934803197,15,0,0,21,1.0,1.0,1.0,1.0,0.0,0.0
-5.260200144963605,15,0,0,21,1.0,1.0,1.0,1.0,0.0,0.0
-4.607985355124011,15,0,0,21,1.0,1.0,1.0,1.0,0.0,0.0
-3.9557705652844195,15,0,0,21,1.0,1.0,1.0,1.0,0.0,0.0
-3.3035557754448277,15,0,0,21,1.0,1.0,1.0,1.0,0.0,0.0
-2.651340985605234,15,0,0,21,1.0,1.0,1.0,1.0,0.0,0.0
-1.999126195765644,15,0,0,21,1.0,1.0,1.0,1.0,0.0,0.0
-1.3469114059260505,15,0,0,21,1.0,1.0,1.0,1.0,0.0,0.0
-0.6946966160864569,15,0,0,21,1.0,1.0,1.0,1.0,0.0,0.0
-0.042481826246866916,15,0,0,21,1.0,1.0,1.0,1.0,0.0,0.0
0.6097329635927267,15,0,0,21,1.0,1.0,1.0,1.0,0.0,0.0
1.2619477534323202,15,0,0,21,1.0,1.0,1.0,1.0,0.0,0.0
1.9141625432719103,15,0,0,21,1.0,1.0,1.0,1.0,0.0,0.0
2.566377333111504,15,0,0,21,1.0,1.0,1.0,1.0,0.0,0.0
3.2185921229510974,15,0,0,21,1.0,1.0,1.0,1.0,0.0,0.0
3.8708069127906874,15,0,0,21,1.0,1.0,1.0,1.0,0.0,0.0
4.523021702630281,15,0,0,21,1.0,1.0,1.0,1.0,0.0,0.0
5.175236492469875,15,0,0,21,1.0,1.0,1.0,1.0,0.0,0.0
5.827451282309465,15,0,0,21,1.0,1.0,1.0,1.0,0.0,0.0
6.479666072149058,15,0,0,21,1.0,1.0,1.0,1.0,0.0,0.0
7.131880861988652,15,0,0,21,1.0,1.0,1.0,1.0,0.0,0.0
7.784095651828242,15,0,0,21,1.0,1.0,1.0,1.0,0.0,0.0
8.436310441667835,14,1,0,21,0.9722222222222222,1.0,0.9333333333333333,0.9655172413793104,0.0,0.06666666666666667
9.088525231507429,14,1,0,21,0.9722222222222222,1.0,0.9333333333333333,0.9655172413793104,0.0,0.06666666666666667
9.740740021347019,14,1,0,21,0.9722222222222222,1.0,0.9333333333333333,0.9655172413793104,0.0,0.06666666666666667
10.392954811186613,14,1,0,21,0.9722222222222222,1.0,0.9333333333333333,0.9655172413793104,0.0,0.06666666666666667
11.045169601026206,9,6,0,21,0.8333333333333334,1.0,0.6,0.7499999999999999,0.0,0.4
11.697384390865796,8,7,0,21,0.8055555555555556,1.0,0.5333333333333333,0.6956521739130436,0.0,0.4666666666666667
12.34959918070539,3,12,0,21,0.6666666666666666,1.0,0.2,0.33333333333333337,0.0,0.8
13.001813970544983,2,13,0,21,0.6388888888888888,1.0,0.13333333333333333,0.23529411764705882,0.0,0.8666666666666667
13.654028760384572,0,15,0,21,0.5833333333333334,0.0,0.0,0.0,0.0,1.0
